,dialogue_id,turn,text,role,topic,intent,sentiment,urgency
0,1,1,"Не могли бы вы подсказать: у меня не проходит оплата картой, уже пробовал несколько раз, номер заказа 256837.",client,payment,payment_issue,negative,3
2,1,3,"Прошу прощения за беспокойство, карта та же, что и всегда, раньше проблем не было.",client,payment,payment_issue,negative,3
4,2,1,"Привет, деточка, не получается привязать новю карту для оплаты.",client,payment,complaint_issue,negative,4
6,2,3,"Ой, простите за беспокойство, ошибка появляется прямо на этапе подтверждения оплаты. Внучка обычно помогает, а её сейчас нет рядом, номер заказа 136633.",client,payment,payment_issue,negative,4
8,2,5,"Вот веьд незадача... спасибо большое, буду ждать. Внучка обычно помогает, а её сейчас нет рядом.",client,payment,gratitude,positive,1
9,3,1,"Здрасте, Прошу прощения за беспокойство, с карты списали деньги, а заказ так и не оформился.",client,payment,payment_issue,negative,4
11,3,3,"Будьте добры, пишет, что операция отклонена, хотя деньги на карте есть, если нужно — заказ 761641...",client,payment,complaint_issue,negative,3
13,4,1,"Привет, оплатил заказ, а в приложении статус так и не обновился. Дети под ногами, времени разбираься нет!",client,payment,payment_issue,negative,2
15,4,3,"Third раз пишу, оплачивал с телефона Honor 90, если это важно!",client,payment,payment_issue,negative,2
17,5,1,"Привет, Будьте добры, когда можно ожидать ответ по моему обращению. Буду признателен за скорый ответ...",client,payment,ask_timing,neutral,3
19,5,3,Не могли бы вы подсказать: через сколько дней ждать зачисления. Заранее благодарен за содействие.,client,payment,ask_timing,neutral,3
21,6,1,Деньги списались дважды за один и тот же заказ!,client,payment,payment_issue,negative,3
23,6,3,"Опять двадцать пять, как быстро обычно рассматривают такие заявки. Совсем распустились.",client,payment,ask_timing,neutral,3
25,7,1,"Оплата отклоняется, хотя на счету достаточно средств, если нужно — заказ 201519.",client,payment,technical_issue_issue,negative,3
27,7,3,"Подскажите, пожалуйста: код ошибки такй: ERR_402.",client,payment,payment_issue,negative,3
29,8,1,"Немедленно нужно решить: деньги ушли, а чек об оплате не пришёл. Иначе буду писать жалобу (заказ №608155)!",client,payment,complaint_issue,negative,5
31,8,3,"Немедленно нужно решить: в приложении банка вижу списание, а у вас статус ""не оплачено"". Иначе буду писать жалобу.",client,payment,payment_issue,negative,5
33,9,1,"Извините, ребёнок плачет, отвлеклась, система пишет ошибку оплаты, но банк подтверждает списание. Пишу пока малыш спит 💛 💛",client,payment,payment_issue,negative,3
35,9,3,"Простите, дописываю на бегу, сумма списания 749 рублей, заказ на меньшую сумму. Извинните, если что-то путано объяснила, если нужно — заказ 40629.",client,payment,complaint_issue,negative,3
37,10,1,"Добрый день, хочу понять, почему с меня списали больше, чем указано в заазе. Внучка обычно помогает, а её сейчас нет рядом!",client,payment,payment_issue,negative,4
39,10,3,"Вот ведь незадача... порбовал и через приложение, и через сайт — результат одинаковый. Внучка обычно помогает, а её сейчас нет рядом.",client,payment,complaint_issue,negative,4
41,11,1,"Как обычно, оплата через СБП не проходит уже второй день!",client,payment,payment_issue,negative,3
43,11,3,"Внезапно (нет), оплачивал с телефона Xiaomi Reedmi Note 12, если это важно.",client,payment,technical_issue_issue,negative,3
45,12,1,"Добрый день, я тут не сиильно разбираюсь, но с картты списали деньги, а заказ так и не оформился.",client,payment,complaint_issue,negative,4
47,12,3,Код ошибки такой: ERR_CARD_LIMIT.,client,payment,payment_issue,neutral,3
49,13,1,"Привет, хочу понять, почему с меня списали больше, чем указано в заказе, номер заказа 925061.",client,payment,complaint_issue,negative,4
51,13,3,"В приложении банка вижу списание, а у вас статус ""не оплачено"". Логи готов приложить, если нужно.",client,payment,complaint_issue,negative,4
53,14,1,"Коллеги, оплатил заказ, а в приложении статус так и не обновился.",client,payment,payment_issue,negative,3
55,14,3,"Коллеги, ошибка появляется прямо на этапе подтверждения оплаты.",client,payment,response,neutral,2
57,15,1,"Добрый день, Немедленно нужно решить: не получается привязать новую карту для оплаты. Иначе буду писать жалобу.",client,payment,complaint_issue,negative,5
59,15,3,Срочно: сколько времени займёт решение вопроса?!,client,payment,ask_timing,negative,5
61,16,1,"Простите, дописыываю на бегу, когда примерно вернут деньги. Пишу пока малыш спит 💛, номер заказа 223571! 🙏",client,payment,ask_timing,neutral,3
63,16,3,"Подскажите, сколько обычно жддать возврат средств (заказ №924430).",client,payment,ask_timing,neutral,2
65,17,1,"Оплата отклоняется, хотя на счету достаточно средств.",client,payment,payment_issue,negative,3
67,17,3,"Не могли бы вы подсказать: сумма списания 749 рублей, заказ на меньшую сумму. Буду признателен за скорый ответ.",client,payment,payment_issue,neutral,2
69,18,1,"Простите что беспокою, у меня не проходит оплата картой, уже пробовал несколькко раз. Помогите пожалуйста, очень надо, номер заказа 437668 😢",client,payment,complaint_issue,negative,4
71,18,3,Как быстро обычно рассматривают такие заявки? 🙏,client,payment,ask_timing,negative,3
73,19,1,"Привет, Не могли бы вы подсказать: деньги ушли, а чек об оплате не пришёл. Буду признателен за скорый ответ.",client,payment,technical_issue_issue,negative,3
75,19,3,"Не могли бы вы подсказать: пробовал и через приложение, и через сайт — результат одинаковый. Заранее благодарен за содействие.",client,payment,payment_issue,negative,3
