dialogue_id,turn,text,role,topic,intent,sentiment,urgency,client_persona,operator_style
1,1,"Не могли бы вы подсказать: у меня не проходит оплата картой, уже пробовал несколько раз, номер заказа 256837.",client,payment,payment_issue,negative,3,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
1,2,"Уточните, пожалуйста, номер заказа для проверки платежа?",operator,payment,response,neutral,2,,оператор (деловой)
1,3,"Прошу прощения за беспокойство, карта та же, что и всегда, раньше проблем не было.",client,payment,payment_issue,negative,3,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
1,4,"Вижу двойное списание, вторая операция будет отменена автоматически. Обращение зарегистрировано под номером 153715.",operator,payment,response,neutral,2,,оператор (деловой)
2,1,"Привет, деточка, не получается привязать новю карту для оплаты.",client,payment,complaint_issue,negative,4,"Валентина Ивановна, 67 лет (растерянная, вежливая)",
2,2,"Приветствую! Сейчас разберёмся 🙂 сочувствую, что так вышло, сейчас поможем.",operator,payment,acknowledgment,neutral,3,,оператор (дружелюбный)
2,3,"Ой, простите за беспокойство, ошибка появляется прямо на этапе подтверждения оплаты. Внучка обычно помогает, а её сейчас нет рядом, номер заказа 136633.",client,payment,payment_issue,negative,4,"Валентина Ивановна, 67 лет (растерянная, вежливая)",
2,4,"Сейчас разберёмся 🙂 подскажите номер телефона, привязанный к заказу, я проверю транзакции?",operator,payment,response,neutral,2,,оператор (дружелюбный)
2,5,"Вот веьд незадача... спасибо большое, буду ждать. Внучка обычно помогает, а её сейчас нет рядом.",client,payment,gratitude,positive,1,"Валентина Ивановна, 67 лет (растерянная, вежливая)",
3,1,"Здрасте, Прошу прощения за беспокойство, с карты списали деньги, а заказ так и не оформился.",client,payment,payment_issue,negative,4,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
3,2,"Приветствую! Скажите, пожалуйста, появляется ли какая-то ошибка при оплате? Номер обращения: 392813.",operator,payment,response,neutral,2,,оператор (дружелюбный)
3,3,"Будьте добры, пишет, что операция отклонена, хотя деньги на карте есть, если нужно — заказ 761641...",client,payment,complaint_issue,negative,3,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
3,4,Попробуйте повторить оплату через несколько минут или другим способом.,operator,payment,response,neutral,3,,оператор (дружелюбный)
4,1,"Привет, оплатил заказ, а в приложении статус так и не обновился. Дети под ногами, времени разбираься нет!",client,payment,payment_issue,negative,2,"Дмитрий, 34 лет (уставший, раздражённый)",
4,2,"Уточните способ оплаты — картой, через СБП или иначе?",operator,payment,response,neutral,2,,оператор (формальный)
4,3,"Third раз пишу, оплачивал с телефона Honor 90, если это важно!",client,payment,payment_issue,negative,2,"Дмитрий, 34 лет (уставший, раздражённый)",
4,4,"Благодарю за обращение. Списание отменено, деньги вернутся на счёт в течение суток.",operator,payment,response,neutral,1,,оператор (формальный)
5,1,"Привет, Будьте добры, когда можно ожидать ответ по моему обращению. Буду признателен за скорый ответ...",client,payment,ask_timing,neutral,3,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
5,2,"Добрый день. Какая сумма списалась, совпадает ли она со стоимостью заказа?",operator,payment,response,neutral,2,,оператор (деловой)
5,3,Не могли бы вы подсказать: через сколько дней ждать зачисления. Заранее благодарен за содействие.,client,payment,ask_timing,neutral,3,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
5,4,"По делу: исправил данные по заказу, повторное списание больше не потребуется. Обращение зарегистрировано под номером 937162.",operator,payment,response,neutral,2,,оператор (деловой)
6,1,Деньги списались дважды за один и тот же заказ!,client,payment,payment_issue,negative,3,"Николай Петрович, 64 лет (ворчливый, недовольный)",
6,2,"Здравствуйте! Понимаю, как это неприятно. Когда именно произошло списание — сегодня или раньше? (тикет №494055)",operator,payment,response,neutral,2,,оператор (заботливый)
6,3,"Опять двадцать пять, как быстро обычно рассматривают такие заявки. Совсем распустились.",client,payment,ask_timing,neutral,3,"Николай Петрович, 64 лет (ворчливый, недовольный)",
6,4,"Сочувствую, сейчас поможем. Деньги придут в течение суток, чек продублирую на почту.",operator,payment,response,neutral,2,,оператор (заботливый)
7,1,"Оплата отклоняется, хотя на счету достаточно средств, если нужно — заказ 201519.",client,payment,technical_issue_issue,negative,3,"Марина, 44 лет (спокойная, доброжелательная)",
